               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034519,           0.0045799,                   0,             0.68902,             0.56545,             0.58326,             0.18559,            0.045354,           0.0047466,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.034643,           0.0045192,                   0,             0.64798,             0.60716,             0.60014,             0.18947,            0.048042,           0.0045896,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.033939,           0.0044757,                   0,             0.67078,             0.58672,             0.61986,             0.19566,            0.044175,             0.00466,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.033801,           0.0044687,                   0,             0.67511,             0.58749,             0.60126,             0.18901,            0.046444,            0.004587,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.032091,           0.0044092,                   0,              0.6958,              0.5445,             0.59858,             0.19041,            0.046081,           0.0045501,                   0,            0.001882,            0.001882,            0.001882
                  43,              0.0322,           0.0042398,                   0,             0.63067,             0.63351,             0.61153,             0.19217,            0.045704,            0.004534,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.031664,           0.0044336,                   0,               0.731,             0.56545,             0.60634,             0.19339,            0.046886,           0.0046479,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.031419,           0.0041614,                   0,             0.66859,             0.60206,             0.60344,              0.1981,            0.046594,           0.0045712,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.031328,           0.0044683,                   0,             0.70537,             0.57592,              0.6232,             0.19534,            0.047111,           0.0045119,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030974,           0.0042427,                   0,             0.74011,             0.55497,             0.60299,             0.18772,            0.046241,           0.0045824,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029776,           0.0042294,                   0,             0.70357,             0.57068,             0.61287,             0.19271,            0.046631,           0.0046067,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.029508,           0.0041506,                   0,             0.74878,             0.55497,             0.61083,             0.19407,            0.047048,           0.0045721,                   0,            0.000496,            0.000496,            0.000496
