               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10233,            0.013719,                   0,          0.00052632,             0.15707,          0.00035939,          8.3829e-05,            0.088865,            0.011176,                   0,            0.070238,           0.0033069,           0.0033069
                   1,            0.076393,           0.0098808,                   0,            0.060861,             0.20942,            0.021215,           0.0045729,            0.074301,           0.0091073,                   0,            0.040107,           0.0065087,           0.0065087
                   2,            0.069123,           0.0086672,                   0,              0.3064,             0.22513,             0.17339,            0.045493,            0.061483,           0.0086292,                   0,           0.0098431,           0.0095786,           0.0095786
